plastid;plastname;wellid;wellname
1834;ВТ79/9;1012678;56448Б
1834;ВТ79/9;1012439;50016К
1834;ВТ79/9;1012438;92480
1834;ВТ79/9;1012352;91294
1788;ЯТ7/7;1012322;60435Б
1778;ЯТ5/7;1012437;57132Б
1778;ЯТ5/7;1012436;6892
1778;ЯТ5/7;1012322;60435Б
1834;ВТ79/9;1012585;82449Б
1834;ВТ79/9;1012567;9052
1834;ВТ79/9;1012566;99798
1834;ВТ79/9;1012368;83577К
1778;ЯТ5/7;1012368;83577К
1834;ВТ79/9;1012601;59956
1834;ВТ79/9;1012600;34995К
1834;ВТ79/9;1012599;5029
1834;ВТ79/9;1012598;67029
1834;ВТ79/9;1012584;90276
1834;ВТ79/9;1012581;12320
1834;ВТ79/9;1012565;6303К
1834;ВТ79/9;1012564;67525
1834;ВТ79/9;1012562;31757
1834;ВТ79/9;1012365;72633К
1788;ЯТ7/7;1012601;59956
1778;ЯТ5/7;1012601;59956
1778;ЯТ5/7;1012600;34995К
1778;ЯТ5/7;1012582;11344
1778;ЯТ5/7;1012580;64892Р
1778;ЯТ5/7;1012563;79197
1778;ЯТ5/7;1012546;24273Б
1834;ВТ79/9;1012470;81586В
1834;ВТ79/9;1012402;61078
1834;ВТ79/9;1012326;97372В
1778;ЯТ5/7;1012404;42957Б
1778;ЯТ5/7;1012403;25821Б
1778;ЯТ5/7;1012311;93304В
1778;ЯТ5/7;1012305;13328
1757;РЛ;1012402;61078
1834;ВТ79/9;1012259;31725Б
1778;ЯТ5/7;1012261;5014В
1778;ЯТ5/7;1012259;31725Б
1778;ЯТ5/7;1012258;85131Б
1778;ЯТ5/7;1012256;63811В
1778;ЯТ5/7;1012255;65436
1778;ЯТ5/7;1012254;21617
1778;ЯТ5/7;1012253;77939
1778;ЯТ5/7;1012252;36266
1778;ЯТ5/7;1012251;96272
1778;ЯТ5/7;1012250;69137
1778;ЯТ5/7;1012249;50912
1778;ЯТ5/7;1012248;85650
1778;ЯТ5/7;1012247;52749Б
1778;ЯТ5/7;1012246;60679В
1778;ЯТ5/7;1012245;61304
1778;ЯТ5/7;1012244;77282
1778;ЯТ5/7;1012243;30353
1778;ЯТ5/7;1012242;90364
1778;ЯТ5/7;1012239;61660В
1778;ЯТ5/7;1012237;40332К
1778;ЯТ5/7;1012236;96970
1778;ЯТ5/7;1011159;94600В
1757;РЛ;1012255;65436
1757;РЛ;1012242;90364
1834;ВТ79/9;1012266;29873Р
1778;ЯТ5/7;1012275;3914
1778;ЯТ5/7;1012274;47355
1778;ЯТ5/7;1012273;76566К
1778;ЯТ5/7;1012272;30667
1778;ЯТ5/7;1012269;28623К
1778;ЯТ5/7;1012268;95230В
1778;ЯТ5/7;1012266;29873Р
1778;ЯТ5/7;1012265;94105В
1778;ЯТ5/7;1012264;96449
1778;ЯТ5/7;1012241;3468К
1757;РЛ;1012266;29873Р
1778;ЯТ5/7;1012271;75357Б
1778;ЯТ5/7;1012270;35269
1778;ЯТ5/7;1012267;87129Б
1778;ЯТ5/7;1012263;67800К
1778;ЯТ5/7;1012262;64273
1778;ЯТ5/7;1012260;12179Р
1778;ЯТ5/7;1012257;70295
1778;ЯТ5/7;1012240;26492
1778;ЯТ5/7;1012238;14471
1757;РЛ;1012271;75357Б
1788;ЯТ7/7;1011144;77239В
1788;ЯТ7/7;992355;57419
1778;ЯТ5/7;992355;57419
1778;ЯТ5/7;955248;75502В
1834;ВТ79/9;1011157;22016Р
1778;ЯТ5/7;1011156;26356
1834;ВТ79/9;955133;64285
1834;ВТ79/9;955115;44532Б
1834;ВТ79/9;955114;30126К
1834;ВТ79/9;955113;47723
1834;ВТ79/9;955110;8438
1834;ВТ79/9;955103;58215К
1834;ВТ79/9;955102;60086Р
1788;ЯТ7/7;955134;75526
1788;ЯТ7/7;955112;35293
1788;ЯТ7/7;955111;28515К
1778;ЯТ5/7;955135;11589
1778;ЯТ5/7;955112;35293
1788;ЯТ7/7;1011143;23973
1788;ЯТ7/7;1009793;9335Р
1778;ЯТ5/7;1009793;9335Р
1834;ВТ79/9;955090;68449
1834;ВТ79/9;955089;87614
1834;ВТ79/9;955087;46068
1834;ВТ79/9;955084;71968
1778;ЯТ5/7;955090;68449
1778;ЯТ5/7;955089;87614
1778;ЯТ5/7;955086;20556Б
1757;РЛ;955085;99318К
1788;ЯТ7/7;955207;40896Б
1778;ЯТ5/7;955207;40896Б
1834;ВТ79/9;1002276;22680Б
1834;ВТ79/9;1001874;14266В
1834;ВТ79/9;1001676;31463
1834;ВТ79/9;1001236;99383
1778;ЯТ5/7;1002598;3796
1778;ЯТ5/7;1002558;70322
1778;ЯТ5/7;1002436;32385К
1778;ЯТ5/7;1002316;94596
1778;ЯТ5/7;1002156;47422В
1778;ЯТ5/7;1002076;20429
1778;ЯТ5/7;1001956;58725Б
1778;ЯТ5/7;1001874;14266В
1778;ЯТ5/7;1001676;31463
1757;РЛ;1001436;48657К
1757;РЛ;1001434;79069
1778;ЯТ5/7;997435;23103Б
1778;ЯТ5/7;997433;7561В
1778;ЯТ5/7;997115;70299Б
1778;ЯТ5/7;996995;47012
1778;ЯТ5/7;996755;498К
1778;ЯТ5/7;996675;62715К
1778;ЯТ5/7;996433;77988К
1778;ЯТ5/7;995995;57443
1778;ЯТ5/7;995955;48981К
1778;ЯТ5/7;995915;63556
1778;ЯТ5/7;995555;80537
1778;ЯТ5/7;995475;98306
1778;ЯТ5/7;995195;67330В
1778;ЯТ5/7;995193;14800
1757;РЛ;996355;75461
1834;ВТ79/9;996315;9793В
1778;ЯТ5/7;996673;27824
1778;ЯТ5/7;996635;83182
1778;ЯТ5/7;996435;68135
1778;ЯТ5/7;996315;9793В
1778;ЯТ5/7;996313;61400Р
1778;ЯТ5/7;996275;74550К
1778;ЯТ5/7;995715;53867Р
1757;РЛ;996155;94608Б
1778;ЯТ5/7;995835;72535
1778;ЯТ5/7;995795;62846
1778;ЯТ5/7;995075;83459Р
1778;ЯТ5/7;995035;81173Р
1778;ЯТ5/7;994955;13896Б
1778;ЯТ5/7;994915;81995
1778;ЯТ5/7;994715;60148В
1778;ЯТ5/7;994635;78439
1778;ЯТ5/7;994435;60487
1778;ЯТ5/7;994433;1668К
1757;РЛ;994793;50559
1778;ЯТ5/7;994595;97369
1778;ЯТ5/7;994475;69083
1778;ЯТ5/7;994275;70062
1778;ЯТ5/7;994195;12221
1778;ЯТ5/7;994073;24847
1778;ЯТ5/7;994071;14989
1778;ЯТ5/7;993835;35206
1778;ЯТ5/7;993755;66392
1778;ЯТ5/7;993515;17301К
1778;ЯТ5/7;993315;51794
1778;ЯТ5/7;993035;84032
1757;РЛ;994155;11108Р
1834;ВТ79/9;993195;46571
1834;ВТ79/9;991955;40744В
1834;ВТ79/9;991035;24227
1834;ВТ79/9;990955;27897
1788;ЯТ7/7;992155;31696
1778;ЯТ5/7;994153;35111Р
1778;ЯТ5/7;994075;80608
1778;ЯТ5/7;993915;52161
1778;ЯТ5/7;993873;72601
1778;ЯТ5/7;993675;97704Б
1778;ЯТ5/7;993595;5975
1778;ЯТ5/7;993195;46571
1778;ЯТ5/7;993155;59420Р
1778;ЯТ5/7;992755;7566
1778;ЯТ5/7;992673;28865Р
1778;ЯТ5/7;992155;31696
1778;ЯТ5/7;992115;86961К
1778;ЯТ5/7;991955;40744В
1778;ЯТ5/7;991715;91299К
1778;ЯТ5/7;991475;90227Р
1778;ЯТ5/7;991435;79862
1778;ЯТ5/7;991035;24227
1757;РЛ;992395;24340
1757;РЛ;991075;50408
1834;ВТ79/9;991875;41218
1834;ВТ79/9;991515;89587В
1778;ЯТ5/7;993715;62469Б
1778;ЯТ5/7;993555;53591
1778;ЯТ5/7;993395;99313
1778;ЯТ5/7;993355;24043
1778;ЯТ5/7;992995;29555
1778;ЯТ5/7;992955;56109К
1778;ЯТ5/7;991915;33940В
1778;ЯТ5/7;991835;49578
1778;ЯТ5/7;991795;10960
1778;ЯТ5/7;991553;87052
1778;ЯТ5/7;991395;76292
1778;ЯТ5/7;991195;91145Р
1778;ЯТ5/7;991155;32816Р
1778;ЯТ5/7;991031;53667Б
1778;ЯТ5/7;990995;80174Р
1778;ЯТ5/7;990793;63806
1778;ЯТ5/7;990435;461Р
1778;ЯТ5/7;989909;69776
1778;ЯТ5/7;989907;13101
1778;ЯТ5/7;989435;34460
1757;РЛ;989915;23658
1834;ВТ79/9;990791;1197Б
1834;ВТ79/9;990595;93037
1788;ЯТ7/7;989275;13439Р
1788;ЯТ7/7;988873;54086
1788;ЯТ7/7;988195;8895К
1778;ЯТ5/7;990791;1197Б
1778;ЯТ5/7;990675;64308К
1778;ЯТ5/7;990673;50056
1778;ЯТ5/7;990595;93037
1778;ЯТ5/7;990155;10546
1778;ЯТ5/7;989911;6496
1778;ЯТ5/7;989315;87551
1778;ЯТ5/7;988875;55476Б
1778;ЯТ5/7;988273;92740
1778;ЯТ5/7;990393;77691К
1778;ЯТ5/7;990315;92535
1778;ЯТ5/7;990115;76423
1778;ЯТ5/7;989753;21114Б
1778;ЯТ5/7;989033;76483В
1778;ЯТ5/7;988955;2608
1778;ЯТ5/7;988635;46564
1778;ЯТ5/7;978789;43562Р
1778;ЯТ5/7;978787;6781
1778;ЯТ5/7;978315;52467
1778;ЯТ5/7;977915;54745
1778;ЯТ5/7;977635;43543В
1778;ЯТ5/7;977275;37993
1778;ЯТ5/7;977193;34216
1778;ЯТ5/7;977155;52672
1757;РЛ;989353;92546
1757;РЛ;979913;81105
1834;ВТ79/9;987395;67561
1778;ЯТ5/7;988993;26010Б
1778;ЯТ5/7;988915;12621К
1778;ЯТ5/7;988751;54636
1778;ЯТ5/7;988555;94707Б
1778;ЯТ5/7;987915;96086Р
1778;ЯТ5/7;987835;79242
1778;ЯТ5/7;987715;66208
1778;ЯТ5/7;987673;69115
1778;ЯТ5/7;987355;38119
1778;ЯТ5/7;986835;21417
1778;ЯТ5/7;986755;68778Б
1778;ЯТ5/7;986393;14520К
1788;ЯТ7/7;987675;11954Р
1788;ЯТ7/7;987429;28160
1788;ЯТ7/7;987425;32947
1778;ЯТ5/7;988755;80255Р
1778;ЯТ5/7;988753;20514К
1778;ЯТ5/7;988031;65926В
1778;ЯТ5/7;987875;19484
1778;ЯТ5/7;986913;98967К
1757;РЛ;987955;88057В
1778;ЯТ5/7;985635;33523
1778;ЯТ5/7;985515;18387Б
1778;ЯТ5/7;985029;53479В
1778;ЯТ5/7;984955;68591Р
1778;ЯТ5/7;984875;79757
1778;ЯТ5/7;984515;98478Б
1778;ЯТ5/7;984155;39819К
1778;ЯТ5/7;984035;51728
1778;ЯТ5/7;983595;84212
1778;ЯТ5/7;983475;78541
1778;ЯТ5/7;983355;59566
1778;ЯТ5/7;982995;50266В
1778;ЯТ5/7;982635;20159
1788;ЯТ7/7;985233;31801
1788;ЯТ7/7;984275;95719
1788;ЯТ7/7;984115;19953Б
1788;ЯТ7/7;983995;18314
1788;ЯТ7/7;983593;8093Р
1788;ЯТ7/7;982631;21230
1788;ЯТ7/7;982275;21608
1778;ЯТ5/7;984915;68101
1778;ЯТ5/7;984275;95719
1778;ЯТ5/7;984115;19953Б
1778;ЯТ5/7;983755;69684
1778;ЯТ5/7;983435;16348
1778;ЯТ5/7;983393;23548
1778;ЯТ5/7;983195;37293
1778;ЯТ5/7;982795;29868
1778;ЯТ5/7;982275;21608
1778;ЯТ5/7;982155;96929
1778;ЯТ5/7;981755;49574Р
1778;ЯТ5/7;981555;76800К
1757;РЛ;985355;31220
1788;ЯТ7/7;984475;69028
1778;ЯТ5/7;984435;36314
1778;ЯТ5/7;984075;67965
1778;ЯТ5/7;983675;76036
1778;ЯТ5/7;983673;69929
1778;ЯТ5/7;983513;29964К
1778;ЯТ5/7;983155;47357
1778;ЯТ5/7;982715;4245
1778;ЯТ5/7;982713;5188
1778;ЯТ5/7;982435;26580К
1778;ЯТ5/7;980993;9221
1778;ЯТ5/7;980953;31342
1778;ЯТ5/7;980951;29045Р
1778;ЯТ5/7;980675;62448
1778;ЯТ5/7;980231;21005
1778;ЯТ5/7;980115;33814В
1778;ЯТ5/7;979955;3444
1778;ЯТ5/7;979875;27549Б
1778;ЯТ5/7;979473;13157
1778;ЯТ5/7;979393;15275Р
1778;ЯТ5/7;979349;19699
1757;РЛ;982629;16238Р
1757;РЛ;982515;1584Б
1834;ВТ79/9;983035;24145
1778;ЯТ5/7;983875;51606Б
1778;ЯТ5/7;983515;41818
1778;ЯТ5/7;983275;2524
1778;ЯТ5/7;983035;24145
1778;ЯТ5/7;982915;72135Б
1778;ЯТ5/7;982195;76233К
1778;ЯТ5/7;982111;57474Б
1778;ЯТ5/7;982035;98123
1778;ЯТ5/7;981315;43802
1778;ЯТ5/7;981071;59901
1778;ЯТ5/7;980949;65279Р
1778;ЯТ5/7;980595;26672
1778;ЯТ5/7;980315;78288
1778;ЯТ5/7;979991;19843
1757;РЛ;983115;70064
1757;РЛ;980313;13958
1834;ВТ79/9;980791;4720
1778;ЯТ5/7;982873;67266Б
1778;ЯТ5/7;982835;32274Б
1778;ЯТ5/7;982753;13288
1778;ЯТ5/7;982595;63153Б
1778;ЯТ5/7;981595;21309
1778;ЯТ5/7;981475;60678Б
1778;ЯТ5/7;980913;74081Р
1757;РЛ;982633;92233В
1757;РЛ;982555;48785
1778;ЯТ5/7;981075;72566
1778;ЯТ5/7;980795;51198
1778;ЯТ5/7;980555;36652
1778;ЯТ5/7;980155;34387
1778;ЯТ5/7;979989;82471
1778;ЯТ5/7;979987;4310
1778;ЯТ5/7;979593;78315
1778;ЯТ5/7;979435;51596
1778;ЯТ5/7;979195;88845
1778;ЯТ5/7;978915;30281
1757;РЛ;980793;59099
1788;ЯТ7/7;977435;18283
1788;ЯТ7/7;977395;35834
1788;ЯТ7/7;977315;42765
1788;ЯТ7/7;976995;63189Б
1778;ЯТ5/7;979115;46471
1778;ЯТ5/7;978995;9279Б
1778;ЯТ5/7;978709;29175
1778;ЯТ5/7;978275;22956
1778;ЯТ5/7;977675;47486Р
1778;ЯТ5/7;977515;43358
1778;ЯТ5/7;976995;63189Б
1757;РЛ;978515;58896Б
1788;ЯТ7/7;977153;3415
1788;ЯТ7/7;975073;13445
1778;ЯТ5/7;977795;15557
1778;ЯТ5/7;977673;77068В
1778;ЯТ5/7;977393;92085
1778;ЯТ5/7;977153;3415
1778;ЯТ5/7;976915;21987Б
1778;ЯТ5/7;976713;65973К
1778;ЯТ5/7;976595;75075
1778;ЯТ5/7;976593;12394В
1778;ЯТ5/7;976315;62170
1778;ЯТ5/7;976235;86043К
1778;ЯТ5/7;975475;41507
1778;ЯТ5/7;975435;66129
1778;ЯТ5/7;975355;52296
1778;ЯТ5/7;974393;28110К
1778;ЯТ5/7;974195;52660В
1778;ЯТ5/7;974115;62916
1778;ЯТ5/7;973715;24671Р
1778;ЯТ5/7;973633;13455Б
1757;РЛ;978595;43446К
1757;РЛ;978513;90883В
1757;РЛ;975073;13445
1778;ЯТ5/7;977035;2947
1778;ЯТ5/7;976755;87544В
1778;ЯТ5/7;976635;46370Р
1778;ЯТ5/7;976355;43974Б
1778;ЯТ5/7;976275;927Б
1778;ЯТ5/7;975553;94032Б
1778;ЯТ5/7;975395;46574
1778;ЯТ5/7;975033;68174
1778;ЯТ5/7;974875;70238Р
1778;ЯТ5/7;974755;42793
1778;ЯТ5/7;974315;14055
1778;ЯТ5/7;973235;23506
1778;ЯТ5/7;973155;69522
1778;ЯТ5/7;973115;85448Р
1778;ЯТ5/7;973033;78737
1757;РЛ;976555;51223
1757;РЛ;974995;84105Б
1778;ЯТ5/7;975473;14047
1778;ЯТ5/7;975113;21214В
1778;ЯТ5/7;974595;40705
1778;ЯТ5/7;974475;84318
1778;ЯТ5/7;973631;57621К
1778;ЯТ5/7;973515;38352К
1778;ЯТ5/7;972635;80534Р
1778;ЯТ5/7;972555;41575
1778;ЯТ5/7;972195;96497
1778;ЯТ5/7;972115;74433К
1778;ЯТ5/7;971515;93422Р
1778;ЯТ5/7;971395;25424
1757;РЛ;973275;58361
1788;ЯТ7/7;972675;30039
1778;ЯТ5/7;975115;32035
1778;ЯТ5/7;975035;76870В
1778;ЯТ5/7;974715;67086Б
1778;ЯТ5/7;974113;11742
1778;ЯТ5/7;973915;31648
1778;ЯТ5/7;973635;23672Р
1778;ЯТ5/7;973475;69482Р
1778;ЯТ5/7;972875;93806
1778;ЯТ5/7;972715;54909Б
1778;ЯТ5/7;972675;30039
1778;ЯТ5/7;972633;38036Р
1778;ЯТ5/7;972075;6422
1778;ЯТ5/7;972073;8352Б
1778;ЯТ5/7;971795;66668
1778;ЯТ5/7;970955;75209
1778;ЯТ5/7;970953;99344Р
1778;ЯТ5/7;970951;23375Р
1778;ЯТ5/7;970949;69758
1757;РЛ;975075;66902
1757;РЛ;971915;46902К
1788;ЯТ7/7;972795;42461
1788;ЯТ7/7;971115;29479
1778;ЯТ5/7;972795;42461
1778;ЯТ5/7;972235;16735
1778;ЯТ5/7;971873;69827
1778;ЯТ5/7;971675;93005
1778;ЯТ5/7;971635;1312
1778;ЯТ5/7;971555;59806В
1778;ЯТ5/7;971115;29479
1778;ЯТ5/7;971111;87001
1778;ЯТ5/7;970989;39291
1778;ЯТ5/7;970833;50687
1778;ЯТ5/7;970795;83533
1757;РЛ;972793;27561К
1757;РЛ;971315;77198
1757;РЛ;971195;71275
1757;РЛ;971035;83617
1778;ЯТ5/7;970313;4491Б
1778;ЯТ5/7;970311;57662
1778;ЯТ5/7;970195;27591
1778;ЯТ5/7;970115;76881К
1778;ЯТ5/7;969631;93139
1778;ЯТ5/7;969355;78335
1778;ЯТ5/7;969115;74693Р
1778;ЯТ5/7;969035;72281Р
1788;ЯТ7/7;969995;68106К
1788;ЯТ7/7;969955;18771
1788;ЯТ7/7;969873;39708Б
1788;ЯТ7/7;969755;1582
1788;ЯТ7/7;969155;65778
1788;ЯТ7/7;969075;54428
1788;ЯТ7/7;968955;35100Б
1788;ЯТ7/7;968913;56026В
1788;ЯТ7/7;968395;85204В
1788;ЯТ7/7;968035;2823
1788;ЯТ7/7;967595;96659
1778;ЯТ5/7;969075;54428
1778;ЯТ5/7;968913;56026В
1778;ЯТ5/7;968395;85204В
1778;ЯТ5/7;967755;49288
1778;ЯТ5/7;967595;96659
1788;ЯТ7/7;967675;84847
1788;ЯТ7/7;967193;45507К
1778;ЯТ5/7;969395;82142
1778;ЯТ5/7;969235;41743В
1778;ЯТ5/7;968715;81768К
1778;ЯТ5/7;967795;10973Р
1778;ЯТ5/7;967793;34610
1778;ЯТ5/7;967715;52021В
1778;ЯТ5/7;967235;44655
1778;ЯТ5/7;967195;2460К
1778;ЯТ5/7;967075;89969
1778;ЯТ5/7;966555;73345
1778;ЯТ5/7;966475;64210
1778;ЯТ5/7;966355;8159
1778;ЯТ5/7;966115;91389К
1778;ЯТ5/7;966113;19855В
1778;ЯТ5/7;965993;5865
1757;РЛ;968909;53984Р
1788;ЯТ7/7;967275;4006В
1788;ЯТ7/7;967233;45947Р
1788;ЯТ7/7;967151;37549В
1788;ЯТ7/7;966755;11678
1788;ЯТ7/7;966635;27440
1788;ЯТ7/7;966193;94160Р
1788;ЯТ7/7;966155;45055В
1788;ЯТ7/7;966153;50972
1788;ЯТ7/7;965115;17158
1788;ЯТ7/7;964515;94261
1778;ЯТ5/7;968473;38140
1778;ЯТ5/7;968033;92598
1778;ЯТ5/7;967275;4006В
1778;ЯТ5/7;967115;29961Б
1778;ЯТ5/7;966715;86532
1778;ЯТ5/7;966675;57114Б
1778;ЯТ5/7;966195;14385К
1778;ЯТ5/7;965635;19686К
1778;ЯТ5/7;965435;22703
1778;ЯТ5/7;965233;55225В
1778;ЯТ5/7;964433;71424Б
1778;ЯТ5/7;964355;23996Р
1757;РЛ;968355;96446Р
1757;РЛ;964915;12330Б
1757;РЛ;964873;80054
1757;РЛ;964155;36915
1757;РЛ;964153;38801Р
1778;ЯТ5/7;963515;65991К
1778;ЯТ5/7;963435;45746
1778;ЯТ5/7;963275;62324
1778;ЯТ5/7;963193;19167
1778;ЯТ5/7;962555;89617
1778;ЯТ5/7;962515;3881Р
1778;ЯТ5/7;962475;16482К
1778;ЯТ5/7;962235;88189
1778;ЯТ5/7;962035;89180
1778;ЯТ5/7;961995;12412В
1778;ЯТ5/7;961595;74838К
1778;ЯТ5/7;961515;35176
1778;ЯТ5/7;961395;56211
1778;ЯТ5/7;961271;90077
1778;ЯТ5/7;961265;83582
1778;ЯТ5/7;960995;64695К
1778;ЯТ5/7;960675;67520Р
1778;ЯТ5/7;962871;58788Б
1778;ЯТ5/7;962753;99031
1778;ЯТ5/7;962595;94375В
1778;ЯТ5/7;962189;97537
1778;ЯТ5/7;962145;46969
1778;ЯТ5/7;962143;31650
1778;ЯТ5/7;962141;5392В
1778;ЯТ5/7;961955;11689
1778;ЯТ5/7;961915;95701
1778;ЯТ5/7;961913;73186
1778;ЯТ5/7;961835;87948Б
1778;ЯТ5/7;961555;46534
1778;ЯТ5/7;961263;65430Б
1778;ЯТ5/7;961235;23060Р
1778;ЯТ5/7;961155;25565
1778;ЯТ5/7;961075;98440
1778;ЯТ5/7;960953;40170К
1778;ЯТ5/7;960951;3959
1778;ЯТ5/7;959993;53753
1757;РЛ;959993;53753
1778;ЯТ5/7;959795;84989Р
1778;ЯТ5/7;959635;68861Р
1778;ЯТ5/7;959551;69145
1778;ЯТ5/7;959505;8191В
1778;ЯТ5/7;959503;79052
1778;ЯТ5/7;959353;75825Б
1778;ЯТ5/7;959235;78954
1778;ЯТ5/7;958795;50066
1778;ЯТ5/7;958635;34706Р
1778;ЯТ5/7;958435;44299В
1778;ЯТ5/7;958313;68457К
1778;ЯТ5/7;958235;94658
1778;ЯТ5/7;956426;21843Б
1778;ЯТ5/7;956416;55769
1778;ЯТ5/7;956392;17684
1778;ЯТ5/7;956386;53258
1757;РЛ;956418;19218К
1834;ВТ79/9;956024;78444Б
1788;ЯТ7/7;956234;76235
1788;ЯТ7/7;956046;67000
1788;ЯТ7/7;956008;36454
1788;ЯТ7/7;955982;49299
1788;ЯТ7/7;955922;9572
1778;ЯТ5/7;956348;12287Р
1778;ЯТ5/7;956334;67796
1778;ЯТ5/7;956326;38418
1778;ЯТ5/7;956314;92162Р
1778;ЯТ5/7;956288;59615
1778;ЯТ5/7;956278;73690
1778;ЯТ5/7;956224;76196Р
1778;ЯТ5/7;956210;12284
1778;ЯТ5/7;956194;97392К
1778;ЯТ5/7;956112;14437В
1778;ЯТ5/7;956094;77169К
1778;ЯТ5/7;956092;58147
1778;ЯТ5/7;955978;50932В
1778;ЯТ5/7;955956;66114Б
1778;ЯТ5/7;955904;85169Р
1778;ЯТ5/7;955864;58510В
1757;РЛ;956260;60424
1834;ВТ79/9;954962;93273
1788;ЯТ7/7;955426;43052
1788;ЯТ7/7;955422;10684В
1788;ЯТ7/7;955360;65336
1788;ЯТ7/7;955344;98329
1788;ЯТ7/7;954996;670
1778;ЯТ5/7;955542;5579
1778;ЯТ5/7;955496;25158К
1778;ЯТ5/7;955426;43052
1778;ЯТ5/7;955402;67997Р
1778;ЯТ5/7;955232;1443К
1778;ЯТ5/7;955222;42883
1778;ЯТ5/7;955186;54515Р
1778;ЯТ5/7;955056;91827Б
1778;ЯТ5/7;955032;96256В
1778;ЯТ5/7;955012;17864
1778;ЯТ5/7;955006;84385В
1778;ЯТ5/7;954992;7186
1778;ЯТ5/7;954962;93273
1778;ЯТ5/7;954956;54752
1757;РЛ;955386;67658
1788;ЯТ7/7;954776;62393
1788;ЯТ7/7;954720;80119В
1788;ЯТ7/7;954642;78909
1788;ЯТ7/7;954568;66360К
1788;ЯТ7/7;954552;73294
1778;ЯТ5/7;954828;30914
1778;ЯТ5/7;954818;50843Р
1778;ЯТ5/7;954780;44201Р
1778;ЯТ5/7;954738;68242
1778;ЯТ5/7;954712;93479
1778;ЯТ5/7;954700;7921В
1778;ЯТ5/7;954694;12147
1778;ЯТ5/7;954604;47984
1778;ЯТ5/7;954580;50695
1778;ЯТ5/7;954536;84478
1778;ЯТ5/7;954522;6838
1778;ЯТ5/7;954504;67715
1778;ЯТ5/7;954434;35299В
1778;ЯТ5/7;954412;88292Р
1757;РЛ;954654;39142В
1778;ЯТ5/7;954770;89534Р
1778;ЯТ5/7;954750;90107
1778;ЯТ5/7;954728;39964
1778;ЯТ5/7;954666;16179
1778;ЯТ5/7;954656;93110
1778;ЯТ5/7;954646;42730
1778;ЯТ5/7;954644;13651
1778;ЯТ5/7;954606;93350Р
1778;ЯТ5/7;954596;80753
1788;ЯТ7/7;954156;81218Р
1788;ЯТ7/7;954122;67919
1788;ЯТ7/7;954088;45239
1788;ЯТ7/7;954040;96776
1788;ЯТ7/7;954002;90824
1778;ЯТ5/7;954312;7158К
1778;ЯТ5/7;954302;55194
1778;ЯТ5/7;954264;69138Б
1778;ЯТ5/7;954240;747Б
1778;ЯТ5/7;954216;25935
1778;ЯТ5/7;954204;30377Р
1778;ЯТ5/7;954196;65542
1778;ЯТ5/7;954174;51936
1778;ЯТ5/7;954168;82809Б
1778;ЯТ5/7;954148;81232
1778;ЯТ5/7;954084;13614
1778;ЯТ5/7;954074;60299
1778;ЯТ5/7;954022;92199К
1778;ЯТ5/7;954020;16762
1757;РЛ;954180;60567
1788;ЯТ7/7;954190;92663
1778;ЯТ5/7;954244;47705
1778;ЯТ5/7;954234;31417
1778;ЯТ5/7;954226;21803
1778;ЯТ5/7;954166;78840Б
1778;ЯТ5/7;954132;8900
1778;ЯТ5/7;954130;76674К
1778;ЯТ5/7;954126;65709Б
1778;ЯТ5/7;954090;22572Б
1778;ЯТ5/7;954072;90753
1778;ЯТ5/7;954066;25380Б
1778;ЯТ5/7;954058;548
1778;ЯТ5/7;954018;60526В
1778;ЯТ5/7;954016;6108
1778;ЯТ5/7;953980;65302
1778;ЯТ5/7;953976;55997
1778;ЯТ5/7;953960;48529В
1778;ЯТ5/7;953932;98966Р
1778;ЯТ5/7;953924;47630Р
1778;ЯТ5/7;953908;25059К
1778;ЯТ5/7;954032;40342
1778;ЯТ5/7;954000;68472Б
1778;ЯТ5/7;953952;75587
1778;ЯТ5/7;953926;59643Б
1778;ЯТ5/7;953910;91972В
1778;ЯТ5/7;953906;36493
1778;ЯТ5/7;953896;37106
1778;ЯТ5/7;953866;95593
1778;ЯТ5/7;953854;94740
1778;ЯТ5/7;953814;78009
1778;ЯТ5/7;953806;37746Б
1778;ЯТ5/7;953794;60017
1778;ЯТ5/7;953748;23839
1778;ЯТ5/7;953734;57881Р
1778;ЯТ5/7;953720;19099В
1778;ЯТ5/7;953710;92470
1778;ЯТ5/7;953682;7189
1778;ЯТ5/7;953670;33439
1778;ЯТ5/7;953662;81094
1757;РЛ;953998;61506Б
1778;ЯТ5/7;953446;96252
1778;ЯТ5/7;953444;2456
1778;ЯТ5/7;953438;16534В
1778;ЯТ5/7;953388;22277Р
1778;ЯТ5/7;953372;59096Р
1778;ЯТ5/7;953334;39609Б
1778;ЯТ5/7;953302;64942
1778;ЯТ5/7;953286;11660
1778;ЯТ5/7;953264;48221
1778;ЯТ5/7;953262;24603
1778;ЯТ5/7;953236;25865
1778;ЯТ5/7;953192;10348
1778;ЯТ5/7;953190;14472Б
1778;ЯТ5/7;953176;80016
1778;ЯТ5/7;953168;47265
1757;РЛ;953430;90287
1834;ВТ79/9;952694;2968
1778;ЯТ5/7;952830;35429
1778;ЯТ5/7;952826;2403Б
1778;ЯТ5/7;952794;34680К
1778;ЯТ5/7;952770;34284К
1778;ЯТ5/7;952714;1080Б
1778;ЯТ5/7;952700;42192Б
1778;ЯТ5/7;952692;67627В
1778;ЯТ5/7;952678;96112В
1778;ЯТ5/7;952654;3877
1778;ЯТ5/7;952626;69691
